error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.02,10,500,0.24742268041237114,0.24742268041237114,0.01332342132125991,8,97,6,16,1
0.052,26,500,0.28865979381443296,0.28865979381443296,0.03388537386037927,8,97,7,16,1
0.06,30,500,0.32989690721649484,0.32989690721649484,0.06341737013283281,8,97,8,16,1
0.124,62,500,0.3711340206185567,0.3711340206185567,0.09894221872358146,8,97,9,16,1
0.168,84,500,0.41237113402061853,0.41237113402061853,0.13754298793613548,8,97,10,16,1
0.198,99,500,0.4536082474226804,0.4536082474226804,0.1770150624039235,8,97,11,16,1
0.224,112,500,0.4948453608247423,0.4948453608247423,0.21590053837506795,8,97,12,16,1
0.314,157,500,0.5360824742268041,0.5360824742268041,0.25332513600458084,8,97,13,16,1
0.294,147,500,0.5773195876288659,0.5773195876288659,0.2888187407579087,8,97,14,16,1
0.328,164,500,0.6185567010309279,0.6185567010309279,0.3221730904449086,8,97,15,16,1
0.364,182,500,0.6597938144329897,0.6597938144329897,0.35334170963569955,8,97,16,16,1
0.408,204,500,0.7010309278350515,0.7010309278350515,0.382373570603986,8,97,17,16,1
0.434,217,500,0.7422680412371134,0.7422680412371134,0.4093705950924904,8,97,18,16,1
0.448,224,500,0.7835051546391752,0.7835051546391752,0.43446108664185146,8,97,19,16,1
0.46,230,500,0.8247422680412371,0.8247422680412371,0.45778349590572376,8,97,20,16,1
0.444,222,500,0.865979381443299,0.865979381443299,0.47947677111465625,8,97,21,16,1
0.448,224,500,0.9072164948453608,0.9072164948453608,0.4996748533655775,8,97,22,16,1
0.47,235,500,0.9484536082474226,0.9484536082474226,0.5185037512501232,8,97,23,16,1
0.464,232,500,0.9896907216494846,0.9896907216494846,0.536080199026439,8,97,24,16,1
0.48,240,500,1.0309278350515463,1.0309278350515463,0.5525112684796899,8,97,25,16,1
0.536,268,500,1.0721649484536082,1.0721649484536082,0.5678945381001375,8,97,26,16,1
0.498,249,500,1.1134020618556701,1.1134020618556701,0.5823185717075843,8,97,27,16,1
0.54,270,500,1.1546391752577319,1.1546391752577319,0.5958635529489202,8,97,28,16,1
0.484,242,500,1.1958762886597938,1.1958762886597938,0.6086019818932835,8,97,29,16,1
0.0,0,500,0.039603960396039604,0.039603960396039604,6.223196317632674e-54,8,101,1,16,1
